Name,SUBDIVISION,YEAR,ANNUAL,Jan-Feb,Mar-May,June-September,Oct-Dec
ROW311,Assam & Meghalaya,2000,2486.8,34.2,679.5,1666.6,106.5
ROW312,Assam & Meghalaya,2001,2178.6,45.2,495.9,1413.3,224.2
ROW313,Assam & Meghalaya,2002,2392.6,25.9,650.1,1589.8,126.8
ROW314,Assam & Meghalaya,2003,2434.2,51,546.5,1573.3,263.4
ROW315,Assam & Meghalaya,2004,2994.2,34.8,755.8,1849.7,353.9
ROW316,Assam & Meghalaya,2005,2468.2,53.3,660.9,1525.2,228.8
ROW317,Assam & Meghalaya,2006,1898.7,41.6,515.5,1208.2,133.4
ROW318,Assam & Meghalaya,2007,2752.7,75.2,486,1975.1,216.4
ROW319,Assam & Meghalaya,2008,2339.6,44.2,474.3,1683.9,137.2
ROW320,Assam & Meghalaya,2009,2068.2,19.5,426.3,1473.5,148.9
ROW321,Assam & Meghalaya,2010,2711.4,3.6,882.3,1690.1,135.4
ROW322,Assam & Meghalaya,2011,1743.5,22.5,439.4,1236,45.6
ROW323,Assam & Meghalaya,2012,2609.4,22.1,493.7,1874.8,218.8
ROW324,Assam & Meghalaya,2013,1816.5,10.7,503.5,1173,129.3
ROW325,Assam & Meghalaya,2014,2206.2,30.3,431.9,1705.6,38.4
ROW326,Assam & Meghalaya,2015,2471,28.9,620.9,1729.4,91.8
ROW327,Assam & Meghalaya,2016,2266.7,34.8,725.9,1323.9,182.1
ROW328,Assam & Meghalaya,2017,2711.6,39.5,696,1742.7,233.4
ROW329,Naga Mani Mizo Tripura,1901,2168.3,29.8,359.6,1544.8,234.1
ROW330,Naga Mani Mizo Tripura,1902,2174.9,5.3,549.6,1504,116
